SourceFile,XMP-dc:Identifier,XMP-dc:Title-nl,XMP-dc:Description-nl,XMP-dc:Coverage
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00442.jpg,ODB00442,Roksem: Vanderkinderenweg,"Dia van de Vanderkinderenweg in Roksem omzoomd door een bomenrij, genomen vanaf de Zeeweg. [1965-1975].",1965-1975
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00443.jpg,ODB00443,Roksem: Vanderkinderenweg,"Dia van de Vanderkinderenweg in Roksem omzoomd door een bomenrij. [1965-1975].",1965-1975
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00444.jpg,ODB00444,Roksem: Witte Molen Roksem,"Dia van de Witte molen van Roksem, genomen vanaf de Zeeweg, [1965-1975].",1965-1975
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00445.jpg,ODB00445,Roksem: Witte Molen Roksem,"Dia van de Witte molen van Roksem, genomen vanaf de Ossenweg, [1965-1975].",1965-1975
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00446.jpg,ODB00446,Roksem: Witte Molen Roksem,"Dia van de Witte molen van Roksem. Op de achtergrond bevinden zich de zendmast en de watertoren op de Roksemberg.",1980-1990
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00447.jpg,ODB00447,Roksem: Witte Molen Roksem,"Dia van de velden in Roksem, met links op de achtergrond de witte molen van Roksem. De schuur rechts in beeld is de laatste restant van een vroegere hoeve dewelke zichtbaar is op de Ferrarisatlas. [1970-1980].",1970-1980
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00448.jpg,ODB00448,Roksem: Schuur langs de Zeeweg,"Dia van de schuur langs de Zeeweg die de laatste restant is van een vroegere hoeve, [1970-1980].",1970-1980
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00449.jpg,ODB00449,Roksem: Schuur langs de Zeeweg,"Dia van een winters landschap met centraal in beeld de schuur langs de Zeeweg die de laatste restant is van een vroegere hoeve, [1970-1980].",1970-1980
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00450.jpg,ODB00450,Roksem: Moerbeiboom,"Dia van de moerbeiboom langs de Zeeweg. [1975-1990].",1975-1990
/Users/nastasia/Documents/PACKED/demo_oudenburg/werkbestanden/ODB00451.jpg,ODB00451,Westkerke: Waerebrug,"Dia van de Waerevaart en de Waerebrug, genomen vanaf de Waerevaartstraat, [1970-1980].",1970-1980